Tissue	Soil	family	gene	Symbol	Direction	Core	baseMean	log2FoldChange_SIvsMI	stderror	statistic	p.value	p.adjusted
Root	Biggs	LRR-RLK	LOC_Os03g21730	NA	Downregulated by MB	FALSE	94.0509533276589	-1.58164546207366	0.582835582508694	-2.71370779262617	0.00665348260892838	0.0287098313973931
Root	Biggs	LRR-RLK	LOC_Os03g27990	NA	Downregulated by MB	TRUE	879.119701934281	-1.58354463399032	0.317199961772307	-4.99225985130169	5.96768914610393e-07	9.28754340956426e-06
Root	Biggs	NLR	LOC_Os03g36920	NA	Downregulated by MB	FALSE	16.4442634396134	-1.81815254510771	0.561081919191	-3.24044044714403	0.00119345198416162	0.00691398397436651
Root	Biggs	LRR-RLK	LOC_Os03g50810	NA	Downregulated by MB	FALSE	747.138705750614	-0.77321325460096	0.304057633726924	-2.54298254289313	0.010991072026367	0.0428713729142785
Root	Biggs	NLR	LOC_Os04g02860	NA	Downregulated by MB	TRUE	332.02081811382	-1.4753606570066	0.326043987765495	-4.52503561595419	6.03853356272758e-06	7.31088366129433e-05
Root	Biggs	LRR-RLK	LOC_Os04g04330	CTB4a	Downregulated by MB	FALSE	497.864343227845	-0.880674385503483	0.296504879328053	-2.9701851365795	0.00297620325762901	0.0148055637375398
Root	Biggs	NLR	LOC_Os04g11430	NA	Downregulated by MB	TRUE	24.2070092325788	-2.81174432321626	0.588821878493162	-4.77520354782285	1.79525576151057e-06	2.48635186056272e-05
Root	Biggs	NLR	LOC_Os04g12830	NA	Downregulated by MB	TRUE	521.193746182463	-4.28255634899142	0.389775271405507	-10.987244864326	4.40157581145095e-28	1.60575131903106e-25
Root	Biggs	NLR	LOC_Os04g30660	NA	Upregulated by MB	TRUE	5.03443722952559	5	1.3714522494539	3.9503708092678	7.80302078445995e-05	0.000679322278701078
Root	Biggs	NLR	LOC_Os04g30930	NA	Downregulated by MB	TRUE	133.725791559971	-1.27021255712274	0.177906934734906	-7.13975854294521	9.34950064196028e-13	4.44067386597869e-11
Root	Biggs	LRR-RLK	LOC_Os04g38480	NA	Downregulated by MB	FALSE	4412.64187368994	-0.486798179805556	0.13219008826298	-3.68256187889909	0.000230901796572176	0.00172323441397626
Root	Biggs	LRR-RLK	LOC_Os04g38910	NA	Downregulated by MB	TRUE	85.9452254005138	-3.33715222473672	0.501011337151969	-6.66083175623724	2.72282196826067e-11	1.01168517294523e-09
Root	Biggs	LRR-RLK	LOC_Os04g42700	NA	Downregulated by MB	FALSE	941.798368952106	-0.464929444920607	0.121982641203107	-3.81143940100851	0.000138159927770397	0.00111162379028631
Root	Biggs	LRR-RLK	LOC_Os04g45170	NA	Downregulated by MB	TRUE	624.694349159756	-0.820944890304091	0.137283156234197	-5.97993892931487	2.23221292247461e-09	5.89815341889111e-08
Root	Biggs	LRR-RLK	LOC_Os04g48760	XIAO	Downregulated by MB	FALSE	237.15059575865	-1.66587854613335	0.43544674383637	-3.82567689324448	0.000130413248625638	0.00105682012239109
Root	Biggs	LRR-RLK	LOC_Os04g52600	NA	Upregulated by MB	TRUE	8084.27481487841	1.12112182599298	0.148417249328017	7.55385126101613	4.22572740139367e-14	2.48232631860843e-12
Root	Biggs	NLR	LOC_Os04g53030	NA	Downregulated by MB	TRUE	149.033794990865	-0.585046343600433	0.194348463509244	-3.01029569792614	0.00260993464108631	0.0132949302529939
Root	Biggs	NLR	LOC_Os04g53160	NA	Downregulated by MB	FALSE	372.293758156232	-0.5641248793226	0.213263706735016	-2.64519869770216	0.00816429601184488	0.0338335968965497
Root	Biggs	LRR-RLK	LOC_Os04g57630	NA	Upregulated by MB	TRUE	922.722825946653	0.60238727476729	0.139457577992443	4.31950191189991	1.56381754130375e-05	0.00016850797912824
Root	Biggs	LRR-RLK	LOC_Os04g58700	NA	Downregulated by MB	FALSE	819.088669669082	-0.626521474605012	0.188456321656766	-3.32449168644017	0.000885798743924215	0.00538748084783103
Root	Biggs	LRR-RLK	LOC_Os04g58910	NA	Downregulated by MB	FALSE	1053.82641272272	-0.639517029453213	0.161835271593664	-3.95165419228828	7.76128391906395e-05	0.00067610341635782
Root	Biggs	LRR-RLK	LOC_Os05g07740	NA	Downregulated by MB	FALSE	686.019702070675	-0.598899366134607	0.182103582844668	-3.28878409078563	0.00100621179818697	0.00599482320871699
Root	Biggs	LRR-RLK	LOC_Os05g16670	NA	Downregulated by MB	FALSE	1681.57766719468	-0.580283536241225	0.135238912249394	-4.29080304321824	1.78028160118627e-05	0.000188687693140789
Root	Biggs	LRR-RLK	LOC_Os05g16740	NA	Downregulated by MB	TRUE	2727.14953986628	-0.639483059187764	0.163062714512983	-3.92170007164237	8.79263969086794e-05	0.000752779721236558
Root	Biggs	LRR-RLK	LOC_Os05g16824	NA	Upregulated by MB	FALSE	666.63872662514	0.767647546336452	0.283680563915324	2.70602799057318	0.0068093306275011	0.0292518868830015
Root	Biggs	LRR-RLK	LOC_Os05g17604	NA	Upregulated by MB	FALSE	5052.02968732665	1.21301371387702	0.446767398122363	2.71509004232397	0.00662577530441426	0.0286105694503206
Root	Biggs	LRR-RLK	LOC_Os05g17810	NA	Upregulated by MB	TRUE	99.1001723726199	5	1.50730580817511	3.66922000971803	0.000243291636265951	0.00180211872975947
Root	Biggs	LRR-RLK	LOC_Os05g24010	NA	Downregulated by MB	FALSE	1782.44009973783	-0.392892270615154	0.137123767002518	-2.8652383113712	0.00416695521520519	0.019616477229524
Root	Biggs	NLR	LOC_Os05g30220	DEPG1	Downregulated by MB	TRUE	583.923992945134	-2.07940469313455	0.282796385324254	-7.3530101551698	1.93792207595176e-13	1.03276208955023e-11
Root	Biggs	NLR	LOC_Os05g31610	NA	Downregulated by MB	TRUE	11.5973985554987	-3.24401400140166	0.62981237500595	-5.15076256062929	2.59429460978755e-07	4.43106143730681e-06
Root	Biggs	LRR-RLK	LOC_Os05g34270	NA	Downregulated by MB	TRUE	2390.24868872032	-1.11682398474916	0.142435158289719	-7.84092915091579	4.47224733909675e-15	3.03959342094827e-13
Root	Biggs	LRR-RLK	LOC_Os05g40050	NA	Downregulated by MB	FALSE	76.5237705434893	-1.36082111135496	0.39740707430673	-3.42424984187533	0.000616499143091194	0.00397589424648157
Root	Biggs	NLR	LOC_Os05g40150	NA	Downregulated by MB	TRUE	425.544594297141	-0.560973319406632	0.154064457707974	-3.64115986095861	0.000271412535120977	0.00197688700850475
Root	Biggs	LRR-RLK	LOC_Os05g40200	NA	Downregulated by MB	FALSE	264.334569117305	-1.41193297960616	0.330537359609262	-4.27162902636861	1.94050198221869e-05	0.00020346600505753
Root	Biggs	LRR-RLK	LOC_Os05g40770	NA	Upregulated by MB	FALSE	6334.29528056801	0.587351768433119	0.196585213911956	2.98777185091944	0.00281019247909261	0.0141199363804357
Root	Biggs	NLR	LOC_Os05g41290	NA	Downregulated by MB	TRUE	321.162664274138	-0.886433486142048	0.14442930165377	-6.13749063377065	8.38351606471793e-10	2.38619188364787e-08
Root	Biggs	NLR	LOC_Os05g41310	NA	Downregulated by MB	TRUE	163.677555976219	-1.03563342996449	0.356249572137841	-2.90704469832678	0.00364861058098675	0.0175537724245756
Root	Biggs	LRR-RLK	LOC_Os05g51070	NA	Downregulated by MB	TRUE	1956.62325002945	-0.579551984211899	0.167524476244018	-3.45950631934953	0.000541166578605835	0.0035601612205988
Root	Biggs	NLR	LOC_Os06g03500	NA	Downregulated by MB	FALSE	67.6068768242169	-1.90345248622308	0.483393958848827	-3.93768364577007	8.22719619695308e-05	0.00071072860146959
Root	Biggs	NLR	LOC_Os06g05359	NA	Downregulated by MB	FALSE	138.55113784206	-1.20621936896828	0.258819763713848	-4.66046082285229	3.15502211557289e-06	4.11462233360341e-05
Root	Biggs	NLR	LOC_Os06g06850	NA	Downregulated by MB	TRUE	473.5046460281	-1.96714515811859	0.528460325158634	-3.72240840885849	0.00019733149961226	0.00150920052433585
Root	Biggs	LRR-RLK	LOC_Os06g08680	NA	Upregulated by MB	FALSE	15.1698817143513	2.64508815478808	0.60932093917172	4.34104260126639	1.41808223005512e-05	0.000154827308709903
Root	Biggs	LRR-RLK	LOC_Os06g08690	NA	Upregulated by MB	TRUE	225.652932736964	1.08956963948034	0.192250215560392	5.66745600936957	1.44933248628385e-08	3.2532051624781e-07
Root	Biggs	LRR-RLK	LOC_Os06g12120	NA	Downregulated by MB	TRUE	1189.89544216336	-1.58939509161334	0.177301653306732	-8.96435572918033	3.12100034665703e-19	3.92016977170589e-17
Root	Biggs	NLR	LOC_Os06g15750	NA	Downregulated by MB	TRUE	22.2538726031843	-1.70111585217468	0.662047204835217	-2.56947818788555	0.0101851803498337	0.040305768762648
Root	Biggs	NLR	LOC_Os06g17930	NA	Downregulated by MB	TRUE	263.353139770137	-2.81313654784359	0.222897790376694	-12.6207466798546	1.62275299337736e-36	1.57040076896601e-33
Root	Biggs	NLR	LOC_Os06g17950	NA	Downregulated by MB	FALSE	214.710662633421	-0.571872888448651	0.207223793104606	-2.75968738860006	0.00578566954413254	0.0256223971713517
Root	Biggs	NLR	LOC_Os06g17970	NA	Downregulated by MB	TRUE	3304.63212288733	-0.75698901217739	0.160566472097121	-4.71448990745413	2.42317013900195e-06	3.24881449355171e-05
Root	Biggs	LRR-RLK	LOC_Os06g23190	NA	Downregulated by MB	FALSE	684.525062361183	-0.497672520297347	0.146672416036054	-3.3930887193882	0.000691092511945433	0.00438163560227703
Root	Biggs	LRR-RLK	LOC_Os06g35200	NA	Downregulated by MB	FALSE	197.02165551168	-1.50467275533389	0.434363189735442	-3.46408901788004	0.000532030420011244	0.00350845923792609
Root	Biggs	LRR-RLK	LOC_Os06g36270	NA	Downregulated by MB	FALSE	3974.12237440255	-0.54084518291986	0.189470719769223	-2.85450534825968	0.0043103905941004	0.0201690754606695
Root	Biggs	LRR-RLK	LOC_Os06g36320	NA	Downregulated by MB	TRUE	52.0535917326054	-1.75941570976756	0.32977537584751	-5.33519431293476	9.54422933030101e-08	1.79782374252989e-06
Root	Biggs	LRR-RLK	LOC_Os06g38590	NA	Downregulated by MB	TRUE	133.387742696314	-1.50953413944973	0.172214738786024	-8.76541781551761	1.86085237285782e-18	2.05009118919721e-16
