Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	FPLS01029907.13.1490	Enriched in SG	4.89090349426406	-4.11766103120007	1.13674318719249	-3.63357697696218	0.000279519003614191	0.00186004530677297
Arbuckle	KC620950.1.1541	Enriched in SI	5.84922134929192	5.51413395863025	1.22626838371382	4.42304068224048	9.73214069083224e-06	9.85621579127313e-05
Arbuckle	KJ600865.1.1458	Enriched in SI	1.66057979544297	4.47052040046751	1.39077724861415	3.16303118485753	0.00156135605405085	0.00837334828986762
Arbuckle	FJ439860.1.1500	Enriched in SG	27.2289406357198	-4.39402283095297	0.651396888377183	-6.7210409951405	1.80430816998676e-11	6.74492848250934e-10
Arbuckle	FPLS01040505.13.1515	Enriched in SG	24.9899850494448	-8.08552476168127	1.2001692485946	-6.65869781439584	2.76264280443187e-11	9.62005206693947e-10
Arbuckle	HM779939.1.1541	Enriched in SG	1.8569996199442	-4.75001183925725	1.61398353549895	-2.92958188605388	0.00339418369982439	0.016218073242394
Arbuckle	CBXT010004487.187.1541	Enriched in SG	9.02525647469023	-5.52373369487758	1.73832905772679	-3.14741515051966	0.00164720905375613	0.00879013258371013
Arbuckle	GU983350.1.1403	Enriched in SG	83.981801725761	-10.814472919465	1.5641878191669	-6.78597888925851	1.1530201151696e-11	4.95916647901096e-10
Arbuckle	KM200367.1.1508	Enriched in SI	1274.85406762795	9.01916645644587	0.905492479041741	9.85363819319892	6.61067364806058e-23	2.10054155167125e-20
Arbuckle	FPLS01006203.16.1519	Enriched in SG	3.77973684744289	-6.68167381818831	1.51947451583899	-4.35112416028678	1.35441325438526e-05	0.000131409102772799
Arbuckle	FJ936901.1.1446	Enriched in SG	5.24817131462651	-5.88678486696254	1.24038624521731	-4.70002310947068	2.60132051724602e-06	3.10448673936121e-05
Arbuckle	FJ478568.1.1520	Enriched in SG	4.4436534583258	-6.1075945758634	1.41301385365318	-4.29882855279579	1.71703225905772e-05	0.000160466764798703
Arbuckle	HQ121087.1.1522	Enriched in SI	12.8035743079448	2.63993632725745	0.747139458603	3.52182594293303	0.000428585440543284	0.00272366047465257
Arbuckle	GQ396903.1.1493	Enriched in SG	2.52205516873247	-3.95739937448247	1.30908964975035	-3.016304144814	0.0025587646030492	0.0127536855312766
Arbuckle	AM162453.1.1519	Enriched in SG	61.0400222237875	-6.10158366524848	1.15942636596777	-5.25359851707874	1.491558330419e-07	2.38461715466987e-06
Arbuckle	EU223947.1.1486	Enriched in SI	4.3697551713188	3.86950707226592	1.12418185698419	3.35331786189366	0.000798489482226063	0.00465541344912535
Arbuckle	EU449594.1.1457	Enriched in SG	2.11337887381621	-5.4536016765135	1.91340536741008	-2.77900745221828	0.00545252741881021	0.0246186939584646
